years,Objective,Costs,Damages,J,Y,M,I,Harvest,Redsnag,Greysnag,control
2092,67541.0,21083.0,46458.0,0.0,13322244.0,27846513.0,1345.0,235.0,941.0,257009.0,0.2
2093,64551.0,16588.0,47963.0,0.0,12821234.0,28347173.0,1147.0,269.0,1076.0,257950.0,0.2
2094,54522.0,18225.0,36297.0,0.0,12246213.0,28921963.0,1312.0,229.0,918.0,259026.0,0.2
2095,55434.0,16276.0,39158.0,0.0,11593298.0,29574624.0,1210.0,262.0,1050.0,259944.0,0.2
2096,49814.0,15313.0,34501.0,0.0,11034486.0,30133201.0,1255.0,242.0,968.0,260993.0,0.2
2097,46447.0,16137.0,30309.0,0.0,10544189.0,30623291.0,1211.0,251.0,1004.0,261961.0,0.2
2098,51179.0,16429.0,34750.0,0.0,9748886.0,31418362.0,1287.0,242.0,969.0,262965.0,0.2
2099,49683.0,14928.0,34755.0,0.0,9315680.0,31851359.0,1262.0,257.0,1030.0,263934.0,0.2
2100,42897.0,13016.0,29881.0,0.0,8787090.0,32379756.0,1187.0,252.0,1010.0,264964.0,0.2
2101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
