years,Objective,Costs,Damages,J,Y,M,I,Harvest,Redsnag,Greysnag,control
2022,265425.0,248299.0,17125.0,22444158.0,14555573.0,4608751.0,1945.0,1189.0,297.0,242.0,0.7
2023,215143.0,178418.0,36725.0,22040105.0,14587647.0,4979237.0,1640.0,1362.0,584.0,539.0,0.8
2024,291339.0,271270.0,20069.0,21428506.0,14829694.0,5347621.0,2238.0,1312.0,328.0,1123.0,0.85
2025,324330.0,304730.0,19600.0,20839923.0,15035869.0,5728303.0,2382.0,1902.0,336.0,1451.0,0.9
2026,321091.0,306976.0,14114.0,20399820.0,15200015.0,6002362.0,2297.0,2144.0,238.0,1787.0,0.75
2027,219213.0,185528.0,33684.0,19902536.0,15346853.0,6350965.0,1763.0,1723.0,574.0,2025.0,0.85
2028,267407.0,253423.0,13984.0,18019521.0,16752741.0,6826797.0,2068.0,1499.0,264.0,2599.0,0.8
2029,293832.0,270457.0,23375.0,17536969.0,16968588.0,7091902.0,2360.0,1655.0,414.0,2864.0,0.85
2030,311147.0,290606.0,20541.0,16866307.0,17340765.0,7388422.0,2459.0,2006.0,354.0,3277.0,0.8
2031,327135.0,300110.0,27025.0,16310961.0,17608164.0,7674430.0,2640.0,1967.0,492.0,3631.0,0.7
2032,192224.0,145272.0,46952.0,15681330.0,18073528.0,7836452.0,1615.0,1848.0,792.0,4123.0,0.75
2033,204876.0,186260.0,18616.0,15090554.0,18389907.0,8109848.0,1877.0,1211.0,404.0,4915.0,0.9
2034,268065.0,258346.0,9719.0,14442721.0,18791173.0,8355017.0,2146.0,1689.0,188.0,5319.0,0.75
2035,211118.0,182700.0,28418.0,13729775.0,19227118.0,8630351.0,1854.0,1609.0,536.0,5506.0,0.9
2036,257943.0,248119.0,9824.0,13084472.0,19646516.0,8854875.0,2147.0,1668.0,185.0,6043.0,0.85
2037,272422.0,256301.0,16122.0,12548687.0,20012615.0,9022950.0,2352.0,1825.0,322.0,6228.0,0.7
2038,175362.0,138766.0,36596.0,11601256.0,20708035.0,9273122.0,1593.0,1646.0,706.0,6550.0,0.8
2039,204301.0,188476.0,15824.0,11089616.0,20985322.0,9506303.0,1884.0,1275.0,319.0,7256.0,0.8
2040,218808.0,199650.0,19158.0,10429502.0,21458205.0,9692037.0,2038.0,1507.0,377.0,7574.0,0.8
2041,252131.0,232012.0,20119.0,9741548.0,21952912.0,9883734.0,2343.0,1631.0,408.0,7951.0,0.9
2042,255287.0,243229.0,12057.0,9149056.0,22311297.0,10116004.0,2201.0,2109.0,234.0,8359.0,0.7
2043,133984.0,99970.0,34014.0,8570086.0,22597445.0,10407069.0,1255.0,1541.0,660.0,8593.0,0.85
2044,187449.0,179757.0,7692.0,7952775.0,22986540.0,10634444.0,1780.0,1067.0,188.0,9254.0,0.85
2045,233753.0,220899.0,12854.0,7215806.0,23502203.0,10854469.0,2186.0,1513.0,267.0,9442.0,0.75
2046,191726.0,164350.0,27376.0,6599045.0,23871169.0,11100552.0,1913.0,1639.0,546.0,9709.0,0.7
2047,133961.0,106445.0,27516.0,6078577.0,24163257.0,11327539.0,1312.0,1339.0,574.0,10255.0,0.8
2048,196688.0,184503.0,12185.0,5477462.0,24510625.0,11580390.0,1985.0,1050.0,262.0,10829.0,0.75
2049,204847.0,180308.0,24538.0,5006433.0,24716677.0,11843840.0,2164.0,1489.0,496.0,11092.0,0.8
2050,206393.0,186145.0,20248.0,4470746.0,24955614.0,12138955.0,2107.0,1731.0,433.0,11588.0,0.8
2051,218258.0,198252.0,20006.0,4076895.0,25065505.0,12421262.0,2241.0,1686.0,421.0,12021.0,0.75
2052,210379.0,183136.0,27243.0,3629922.0,25151712.0,12780267.0,2267.0,1680.0,560.0,12442.0,0.85
2053,245411.0,229461.0,15950.0,3331938.0,25178445.0,13049752.0,2452.0,1927.0,340.0,13002.0,0.7
2054,157941.0,121599.0,36342.0,2889306.0,25338088.0,13330739.0,1708.0,1716.0,736.0,13342.0,0.9
2055,198417.0,191224.0,7193.0,2448891.0,25436060.0,13672036.0,2003.0,1537.0,171.0,14078.0,0.75
2056,158301.0,135123.0,23177.0,2164771.0,25389549.0,14001114.0,1749.0,1503.0,501.0,14249.0,0.75
2057,161851.0,142112.0,19739.0,1846543.0,25437177.0,14270421.0,1854.0,1312.0,437.0,14750.0,0.7
2058,125709.0,100919.0,24790.0,1527763.0,25407030.0,14618071.0,1484.0,1298.0,556.0,15187.0,0.7
2059,100360.0,82491.0,17869.0,1229209.0,25430368.0,14892384.0,1255.0,1039.0,445.0,15743.0,0.7
2060,108273.0,94612.0,13660.0,846380.0,25453962.0,15250907.0,1418.0,878.0,376.0,16188.0,0.7
2061,95537.0,78779.0,16757.0,626204.0,25379197.0,15544986.0,1227.0,993.0,425.0,16565.0,0.9
2062,134080.0,129702.0,4379.0,547321.0,25175626.0,15826807.0,1532.0,1104.0,123.0,16990.0,0.7
2063,94139.0,76153.0,17986.0,431669.0,24899544.0,16217587.0,1198.0,1072.0,459.0,17113.0,0.8
2064,134097.0,125422.0,8674.0,314873.0,24691122.0,16542197.0,1690.0,958.0,240.0,17572.0,0.85
2065,165348.0,155294.0,10054.0,263665.0,24494942.0,16788559.0,1977.0,1437.0,254.0,17812.0,0.8
2066,189463.0,173464.0,15999.0,205987.0,24291692.0,17048138.0,2363.0,1582.0,395.0,18065.0,0.9
2067,179921.0,170238.0,9683.0,179049.0,24024438.0,17340723.0,2043.0,2127.0,236.0,18461.0,0.75
2068,135743.0,114074.0,21669.0,135751.0,23667393.0,17739614.0,1741.0,1532.0,511.0,18697.0,0.7
2069,96792.0,76551.0,20241.0,85850.0,23363745.0,18092077.0,1346.0,1219.0,522.0,19208.0,0.7
2070,102326.0,89719.0,12607.0,54515.0,23100803.0,18385741.0,1572.0,942.0,404.0,19730.0,0.8
2071,136078.0,125661.0,10417.0,24746.0,22852951.0,18662499.0,1892.0,1258.0,314.0,20134.0,0.8
2072,141332.0,127856.0,13476.0,19162.0,22558646.0,18961206.0,1896.0,1513.0,378.0,20448.0,0.75
2073,113497.0,95587.0,17910.0,16360.0,22273468.0,19247976.0,1600.0,1422.0,474.0,20827.0,0.7
2074,75145.0,58671.0,16474.0,7625.0,21963429.0,19565865.0,1169.0,1120.0,480.0,21301.0,0.7
2075,88581.0,79521.0,9060.0,2559.0,21651819.0,19882130.0,1509.0,818.0,351.0,21781.0,0.7
2076,69293.0,55541.0,13753.0,1749.0,21410933.0,20123132.0,1059.0,1056.0,453.0,22131.0,0.75
2077,84915.0,76967.0,7948.0,539.0,21135223.0,20399588.0,1373.0,794.0,265.0,22584.0,0.7
2078,77716.0,64906.0,12810.0,183.0,20849697.0,20684840.0,1333.0,961.0,412.0,22849.0,0.7
2079,77591.0,66861.0,10731.0,0.0,20566568.0,20967631.0,1357.0,933.0,400.0,23261.0,0.75
2080,100584.0,91157.0,9427.0,0.0,20307824.0,21225816.0,1699.0,1017.0,339.0,23661.0,0.7
2081,86744.0,71487.0,15258.0,0.0,20034723.0,21498064.0,1431.0,1189.0,510.0,24000.0,0.7
2082,74932.0,61700.0,13231.0,0.0,19565291.0,21966792.0,1360.0,1002.0,429.0,24510.0,0.8
2083,109179.0,102536.0,6643.0,0.0,19191824.0,22339780.0,1831.0,1088.0,272.0,24939.0,0.7
2084,80100.0,63675.0,16425.0,0.0,18636581.0,22894093.0,1434.0,1282.0,549.0,25211.0,0.95
2085,94689.0,92934.0,1755.0,0.0,18101481.0,23428641.0,1439.0,1362.0,72.0,25760.0,0.7
2086,59892.0,47485.0,12406.0,0.0,17685474.0,23844013.0,1124.0,1008.0,432.0,25832.0,0.8
2087,83147.0,78200.0,4946.0,0.0,17242801.0,24286333.0,1524.0,899.0,225.0,26264.0,0.7
2088,69846.0,57791.0,12055.0,0.0,15460036.0,26068400.0,1403.0,1067.0,457.0,26488.0,0.7
2089,69613.0,60260.0,9353.0,0.0,15023661.0,26504354.0,1452.0,982.0,421.0,26946.0,0.7
2090,57993.0,47886.0,10107.0,0.0,14387935.0,27139530.0,1221.0,1016.0,436.0,27366.0,0.7
2091,53770.0,46447.0,7323.0,0.0,13884457.0,27642683.0,1176.0,855.0,366.0,27802.0,0.7
2092,61742.0,54447.0,7295.0,0.0,13335663.0,28191166.0,1415.0,823.0,353.0,28168.0,0.85
2093,84101.0,79859.0,4242.0,0.0,12832436.0,28693974.0,1583.0,1202.0,212.0,28521.0,0.8
2094,95403.0,87593.0,7810.0,0.0,12255296.0,29270447.0,1882.0,1266.0,317.0,28733.0,0.8
2095,90295.0,81142.0,9153.0,0.0,11600196.0,29924723.0,1763.0,1506.0,376.0,29050.0,0.8
2096,84667.0,76095.0,8572.0,0.0,11039620.0,30484514.0,1761.0,1410.0,353.0,29426.0,0.7
2097,51593.0,40292.0,11302.0,0.0,10548004.0,30975418.0,1214.0,1233.0,528.0,29779.0,0.7
2098,46778.0,41280.0,5498.0,0.0,9751746.0,31771440.0,1287.0,850.0,364.0,30307.0,0.8
2099,66916.0,63279.0,3637.0,0.0,9318223.0,32204753.0,1600.0,1030.0,257.0,30671.0,0.7
2100,43142.0,34572.0,8570.0,0.0,8788929.0,32733517.0,1187.0,1120.0,480.0,30929.0,0.75
2101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,0.0,0.0,0.0,23272990.0,14463912.0,3873187.0,807.0,0.0,0.0,0.0,0.9
2021,387666.0,374337.0,13330.0,22960906.0,14435982.0,4212612.0,1639.0,726.0,81.0,0.0,0.75
