years,Objective,Costs,Damages,J,Y,M,I,Harvest,Redsnag,Greysnag,B,B_SDD,I_LDD
2089,69663.99557852406,29586.637794006478,40077.35778451763,0.0,8407719.217818255,10247556.009525714,1217.0,375.3000000000014,875.7000000000014,30785510.712685604,0.0,0.0,1217.0
2090,68788.78448006144,30603.364375810754,38185.4201042507,0.0,8397568.544885382,10257519.68245858,1221.0,365.0999999999997,851.8999999999968,30786386.412685648,0.0,0.0,1221.0
2091,70795.51653775343,29985.475439224658,40810.041098528774,0.0,8384943.540114952,10269971.688305631,1176.0,366.3000000000014,854.7000000000012,30787238.3126857,0.0,0.0,1176.0
2092,72722.59014045335,32071.55309818831,40651.037042265074,0.0,8373153.134762225,10281542.09365845,1345.0,352.8000000000013,823.2000000000007,30788093.012685753,0.0,0.0,1345.0
2093,67222.63859018296,25255.251410368335,41967.38717981454,0.0,8332106.381263566,10322327.847157016,1147.0,403.50000000000006,941.4999999999999,30788916.212685604,0.0,0.0,1147.0
2094,59518.201766063394,27758.696318999762,31759.50544706366,0.0,8291567.060588137,10362685.167832552,1312.0,344.0999999999993,802.8999999999969,30789857.712685604,0.0,0.0,1312.0
2095,59059.68425939106,24796.67247945785,34263.01177993319,0.0,8271956.023352622,10382132.205068063,1210.0,393.60000000000014,918.3999999999967,30790660.61268553,0.0,0.0,1210.0
2096,53549.77777291216,23361.797910263227,30187.97986264893,0.0,8262787.772997857,10391129.455422828,1255.0,363.00000000000006,846.9999999999999,30791579.012685753,0.0,0.0,1255.0
2097,51097.86214396895,24577.23323939841,26520.628904570505,0.0,8208110.722101047,10445641.50631957,1211.0,376.50000000000006,878.4999999999999,30792426.012685753,0.0,0.0,1211.0
2098,55437.22897149398,25031.100360451328,30406.128611042663,0.0,8131946.738400042,10521597.490020571,1287.0,363.3000000000014,847.7000000000011,30793304.512685753,0.0,0.0,1287.0
2099,53179.83996498557,22769.543108193273,30410.296856792298,0.0,8044076.854557019,10609277.373863693,1262.0,386.1,900.8999999999967,30794152.212685604,0.0,0.0,1262.0
2100,46018.19762822602,19872.34822134302,26145.849406883008,0.0,7931032.275925616,10722134.952495096,1187.0,378.5999999999999,883.3999999999968,30795053.11268553,0.0,0.0,1187.0
2101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,0.0,0.0,0.0,23272990.0,14463912.0,3873187.0,807.0,0.0,0.0,0.0,4035000.0,0.0,0.0
