years,Objective,Costs,Damages,J,Y,M,I,Redsnag,Greysnag,B,B_SDD,I_LDD
2021,189057.49502385515,161112.32123466392,27945.173789191263,22960906.0,14435982.0,4212612.0,2017.8890020327096,403.5,0.0,4111434.7082957053,3939445.0101635535,1230.0
2022,354195.0335283305,288060.29028555634,66134.74324277401,22444158.0,14555048.92127691,4608732.18972108,3509.2151301801946,1008.9445010163548,403.5,11710144.428507334,11386075.650900885,1232.0
2023,317790.2263506408,192856.3008521762,124933.92549846489,22040105.0,14585609.828547467,4979153.067320349,2500.5039378990805,1754.6075650900973,1412.4445010163524,5954821.295216342,5852519.6894954555,1330.0
2024,438559.75643933663,357730.25955250405,80829.49688683236,21428506.0,14826894.74853962,5347475.643390201,4462.209635359471,1250.2519689495402,3167.0520661064566,17063810.455316547,16506048.176797392,1161.0
2025,886960.8177808378,730026.0732742079,156934.74450663,20839923.0,15030892.93837686,5728040.243921778,8839.078837063624,2231.1048176797353,4417.304035056005,38171257.88904211,37480394.185318,1343.0
2026,2158743.7578501636,1837402.6114180603,321341.1464321036,20399820.0,15188840.811520917,6001870.300774339,21261.36833068228,4419.539418531812,6648.40885273575,101197452.8045384,100246841.65341185,1212.0
2027,1793571.226692834,996275.1712544053,797296.0554384302,19902536.0,15317504.434301374,6349741.309663201,12112.515180892036,10630.68416534114,11067.948271267567,53881169.41333942,53647575.90446029,1383.0
2028,2031952.2044039525,1592079.7924442557,439872.4119596966,18019521.0,16714405.559165038,6824251.669618582,19081.138144789755,6056.257590446018,21698.63243660879,90151069.97139704,89560690.72394931,1169.0
2029,3175764.627863158,2482549.698452674,693214.9294104831,17536969.0,16914060.268237077,7088428.822401851,29441.524818834914,9540.569072394877,27754.890027054655,141881702.4123524,141487624.0941745,1144.0
2030,5438848.044159105,4375916.798018337,1062931.2461407655,16866307.0,17260800.40399156,7383324.161828521,50909.781380873166,14720.762409417457,37295.45909944947,249087492.81852657,248503906.90436557,1209.0
2031,8455529.003643984,6622353.096713475,1833175.906930505,16310961.0,17482759.84657178,7666268.638411442,76469.38049825985,25454.890690436583,52016.2215088673,377921600.44406134,376171902.4912971,1235.0
2032,3737820.760968892,1023423.7049139552,2714397.0560549395,15681330.0,17877197.09416007,7825445.124862891,13217.177323410571,38234.690249129926,77471.11219930412,59762516.87140517,59545886.61705263,1308.0
2033,1464987.2001167203,1014370.0045293353,450617.1955873852,15090554.0,18186395.235917088,8094324.805782394,13262.007023438053,6608.588661705286,115705.80244843317,60714563.84936701,60480035.117190085,1166.0
2034,2922453.079575785,2473608.12647373,448844.95310205326,14442721.0,18580810.79894866,8334945.284957646,31320.652549459348,6631.003511719026,122314.39111013837,150483805.62094033,149798262.7472962,1361.0
2035,2497078.402656145,1438921.5021225926,1058156.9005335525,13729775.0,18992526.156876568,8605301.508926854,19049.66209849575,15660.326274729674,128945.3946218575,89143249.22638081,88918310.4924789,1266.0
2036,3810500.840426008,3184406.142587543,626094.6978384644,13084472.0,19398155.440374505,8826426.563330341,40843.29400503916,9524.831049247876,144605.720896587,198924883.3748125,198106470.0251966,1222.0
2037,6806103.309388873,5457140.41246305,1348962.89692583,12548687.0,19728956.252130497,8991016.457569376,68804.8240503649,20421.64700251958,154130.55194583532,338768057.8768215,338149120.2518235,1175.0
2038,3832602.5177310086,1570523.7374933483,2262078.7802376603,11601256.0,20364492.36270383,9234667.095243696,21364.972957414142,34402.41202518245,174552.19894835437,100685464.80652878,100159864.78707115,1333.0
2039,2534237.862224196,1849002.716049998,685235.1461741992,11089616.0,20629646.951958645,9460310.8544953,25222.20675658776,10682.486478707071,208954.61097353706,120804207.34666444,120206033.78293888,1181.0
2040,2876424.9781419937,2072001.2906694254,804423.6874725703,10429502.0,21085197.568286303,9640110.246623997,28395.222140434536,12611.10337829388,219637.09745224507,135945007.39055222,135646110.70217252,1266.0
2041,3509088.9462018358,2607928.833657032,901160.1125448039,9741548.0,21559605.578064412,9825708.014705434,35715.68868731893,14197.611070217268,232248.2008305389,172363025.41153345,172048443.436595,1306.0
2042,7137209.471932152,6009695.872317785,1127513.5996143713,9149056.0,21891012.299945366,10051620.884784948,79677.16411138889,17857.844343659464,246445.8119007566,392234935.81294215,391730820.55694574,1331.0
2043,2588036.66464546,70950.66406938506,2517086.0005760733,8570086.0,22112234.814671054,10330107.712070514,1257.0,39838.582055694445,264303.6562444143,0.0,0.0,1257.0
2044,212553.87816205103,186274.1433780234,26279.734784027783,7952775.0,22510681.72433474,10548140.802406792,3101.9647965714116,628.5,304142.238300109,9406617.388432436,9014823.982857056,1299.0
2045,495879.2778806213,416617.5495614277,79261.72831919327,7215806.0,23034997.283111043,10758210.652482035,6725.040615435435,1550.9823982857058,304770.738300109,28079346.14824356,27380203.077177044,1249.0
2046,529262.3043673383,345920.91751105443,183341.38685628434,6599045.0,23409038.41979121,10994636.923698602,5766.718082652808,3362.5203077177175,306321.7206983943,22596355.62097022,22353590.41326416,1296.0
2047,225200.3998801537,70477.20223548659,154723.197644667,6078577.0,23704344.96026654,11214533.264025504,1254.0,2883.359041326404,309684.2410061135,0.0,0.0,1254.0
2048,191893.52280072912,163660.82040263948,28232.702398089765,5477462.0,24061552.964502756,11457623.823111491,2812.270911273082,627.0,312567.60004743934,8246194.602857574,8056354.5563654695,1201.0
2049,272832.8108487179,200680.05937121875,72152.75147749891,5006433.0,24276436.116279922,11711428.400423061,3509.0006501574508,1406.135455636541,313194.60004743934,11448100.240185304,11170003.250787243,1275.0
2050,393730.4392752986,303442.0729080204,90288.36636727804,4470746.0,24523645.309923276,11996900.993676705,5264.303059523001,1754.5003250787254,314600.73550307704,19955314.392548073,19501515.29761506,1364.0
2051,626763.6626618169,488124.3197348064,138639.34292701053,4076895.0,24640676.235841192,12269080.875374315,8352.104442308639,2632.1515297615006,316355.23582815396,35584794.542063706,34800522.21154306,1392.0
2052,757667.6291562895,533644.5233986039,224023.1057576866,3629922.0,24731888.318055157,12617016.431946944,9155.134289562884,4176.052221154319,318987.3873579148,40154597.143898204,39550671.44781423,1245.0
2053,1358590.2295754247,1111300.7759268286,247289.45364859566,3331938.0,24760016.03710595,12878198.38028225,18530.582707987738,4577.567144781442,323163.43957906973,87579216.79016344,86617913.53993845,1207.0
2054,867916.6692307926,361759.4163663813,506157.2528644113,2889306.0,24913007.21232698,13149792.94288507,6495.745789303466,9265.291353993869,327741.00672385114,26489311.85183087,26238728.946517378,1248.0
2055,1136355.805224976,966626.872618323,169728.9326066536,2448891.0,25016613.816700082,13480679.184608756,16484.283260889675,3247.872894651733,337006.29807784455,77297099.60411401,76066416.30444771,1271.0
2056,1062029.442249557,613961.2445157218,448068.1977338357,2164771.0,24968647.80643748,13796783.937058752,10858.655350652978,8242.141630444838,340254.1709724966,48158822.488459736,47488276.753264695,1361.0
2057,717869.4906826508,428988.25630033977,288881.2343823112,1846543.0,25017176.574326415,14056192.52863424,7863.813255167583,5429.327675326489,348496.31260294304,33778833.1777735,33259066.275837954,1212.0
2058,345722.7015851169,142878.71174425163,202843.98984086537,1527763.0,24995109.475871067,14389684.826419841,2826.1683236332574,3931.9066275837913,353925.6402782702,8691303.913420748,8520841.618166223,1122.0
2059,124722.80452570466,57212.21905772427,67510.58546798049,1229209.0,25025080.5041472,14655923.006486546,1229.2648104555906,1413.0841618166287,357857.54690585233,247828.0515515635,241324.05227796003,1181.0
2060,93973.84183989631,70877.38310342979,23096.458736466495,846380.0,25062284.58441161,15000882.661411751,1502.733935189079,614.6324052277953,359270.6310676699,1489466.3461600759,1363669.6759453705,1230.0
2061,89238.97196568623,58920.331196600935,30318.64076908538,626204.0,24997650.849916562,15284680.661971413,1323.3172996843568,751.3669675945395,359885.26347289816,44678.15466655602,41586.4984217526,1315.0
2062,217965.6385245281,195105.07246139017,22860.566063137874,547321.0,24805920.529278655,15554580.665309897,3772.8865124654158,661.6586498421784,360636.6304404901,13138815.80877415,12489432.562326951,1275.0
2063,149167.15960535026,57542.599745179956,91624.5598601704,431669.0,24537259.841097727,15935732.145219931,1254.0,1886.4432562327079,361298.2890903349,0.0,0.0,1254.0
2064,140040.79713301317,116001.01565239552,24039.781480617632,314873.0,24340546.153011292,16248541.833306322,2417.5927912889624,627.0,363184.732346565,7012832.62255359,6002963.956444762,1217.0
2065,280744.5587978649,227194.51634152327,53550.04245634173,263665.0,24152904.062128097,16485574.331398048,4594.682770694139,1208.7963956444812,363811.732346565,18310220.11360072,16813413.853470687,1232.0
2066,461511.0797705686,353035.1012465686,108475.97852400003,205987.0,23954340.8611727,16737875.087721681,6990.295461468702,2297.3413853470697,365020.52874220954,30635963.563819904,28606477.307343505,1269.0
2067,954136.2202355834,782219.2236502554,171916.9965853281,179049.0,23692856.358571902,17019909.508059513,14946.672896895981,3495.147730734351,367317.87012755853,72326140.27157387,68773364.48447978,1192.0
2068,891121.9111350056,512924.13238610246,378197.7787489029,135751.0,23334157.942648534,17407593.006222762,10207.103029327222,7473.336448447991,370813.0178582915,46275602.80290964,44875515.146635965,1232.0
2069,301812.17682026094,51525.251255988434,250286.9255642726,85850.0,23034085.659928333,17748035.952792678,1260.0,5103.551514663611,378286.35430674127,0.0,0.0,1260.0
2070,86487.366633372,65569.37590186033,20917.99073151165,54515.0,22780868.25169364,18031960.361027602,1612.8744743074865,630.0,383389.90582140407,1867753.8390465328,1594372.3715374467,1294.0
2071,151209.2673814075,123336.61242866756,27872.65495273983,24746.0,22540862.577919036,18300826.160327774,2787.452205243288,806.4372371537432,384019.905821404,8993187.381331863,7577261.026216486,1272.0
2072,218989.81195961215,160550.850463817,58438.961495795054,19162.0,22253631.405321576,18591591.027968273,3612.3441213893225,1393.726102621644,384826.34305855667,14013445.88747916,11906720.606946522,1231.0
2073,205370.67085574212,127568.74342770237,77801.92742804001,16360.0,21977418.29193534,18867747.098822597,2985.032795380287,1806.1720606946612,386220.069161178,9585272.055676922,8515163.97690146,1282.0
2074,111751.58794185665,50256.789424120216,61494.798517736366,7625.0,21673428.02771103,19178180.33025134,1341.2084782907677,1492.5163976901435,388026.2412218746,111712.87420065337,96042.39145384882,1322.0
2075,82613.13614413307,62581.36241295691,20031.773731176127,2559.0,21369430.604017235,19486660.545467,1633.8129221295644,670.6042391453839,389518.75761956465,2116047.4409871246,1689064.6106478348,1296.0
2076,71214.58901780327,44217.79904985711,26996.789967946148,1749.0,21136980.394134432,19719077.942427646,1248.0,816.9064610647822,390189.36185871036,0.0,0.0,1248.0
2077,84090.67129584559,67049.91725457122,17040.754041274413,539.0,20868563.19237003,19988214.504480243,1786.5114039676887,624.0,391006.26831977227,3140059.8143001758,2337557.0198384565,1319.0
2078,83069.48966063424,53797.41851391473,29272.07114671952,183.0,20592764.32574317,20263407.859703165,1539.724282988269,893.2557019838443,391630.26831977227,1480675.9056483838,1083621.4149413412,1323.0
2079,74746.63151772867,52774.74380635943,21971.88771136928,0.0,20318799.135168437,20536870.325994965,1489.1320692897634,769.8621414941344,392523.5240217593,997119.0100665906,715660.3464488201,1346.0
2080,113635.55563901683,91568.42581134435,22067.129827672452,0.0,20066106.872348774,20788890.456745245,2418.2825536709706,744.5660346448817,393293.38616325095,7125470.952488639,5356412.768354781,1347.0
2081,108644.6635248909,66370.79432953644,42273.86919535453,0.0,19805401.545249593,21048108.514872573,1846.679032221315,1209.1412768354853,394037.9521978958,4606806.175617541,3548395.16110655,1137.0
